Row Labels, NWorksheets, NFormulas, NRelatedWorksheets, NErrorCells, NNamedRanges, NFormulasReferring, NFormulasReferred, NFormulasOnce, NFormulasMore, NFormulasMost, NFunctions, NUDF, NFunctionsUsingList9
101933_BP pipelines in caucasus.xls,3,1,0,0,0,1,1,1,0,1,1,0,0
"101937_china.econ - fdi, inward, by source 2005 - 2009.xlsx",5,0,0,0,0,0,0,0,0,0,0,0,0
101939_natural resource.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101940_EU GDP and Deficit Info.xlsx,3,50,0,0,0,13,17,7,10,9,16,0,0
"101942_china.econ - fdi, inward, by source 2005 - 2009.xlsx",5,0,0,0,0,0,0,0,0,0,0,0,0
101947_GDP and oil.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101948_Rice.xls,10,113,0,0,0,4,6,3,1,110,5,0,0
101949_gmb research.xls,4,0,0,0,0,0,0,0,0,0,0,0,0
101951_China Oil Prod.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101954_BP Capital Expenditures.xls,3,7,0,0,0,2,0,1,1,6,2,0,0
"101955_turkey.israel.econ - bilateral trade snapshot, 2009.xlsx",3,34,2,0,0,10,12,6,4,8,8,0,0
101960_Venezuela Food Price Increases.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101965_china.energy -.xlsx,3,0,0,0,0,0,0,0,0,0,0,0,0
101967_SH GDP 80-2006.xls,3,6,0,0,0,2,4,0,2,4,2,0,0
101971_Daily Sweeps-1.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101972_public_data_source_obtainability.xlsx,3,18,0,0,0,1,4,0,1,18,1,0,0
101976_historical data.xls,1,2,0,0,0,2,4,2,0,1,4,0,0
101978_railway freight.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101979_interest rates.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101980_PMI.xls,2,0,0,0,0,0,0,0,0,0,0,0,0
101981_electricity production.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
101989_us.econ - total nonfarm employment.xlsx,1,854,0,0,0,1,2,0,1,854,1,0,0
101992_Bookmark extract 110512.xlsx,1,0,0,0,0,0,0,0,0,0,0,0,0
1020_GIA-CIS Metrics Aug06.xls,23,1874,0,0,0,299,230,585,269,9,796,0,0
102023_Europe.Econ.ECB Governing Council.xlsx,3,1,0,0,0,0,0,1,0,1,1,0,0
102026_us nuclear summit - sideline meetings.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
102040_Russian Outward FDI - 2007.xls,4,15,0,0,0,3,0,0,3,5,3,0,0
102045_Gasoline Sales in Mexico by State -- Full.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
102051_public_data_source_obtainability.xlsx,3,18,0,0,0,1,4,0,1,18,1,0,0
102056_Argentina debt and inflation.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
102057_Argentina%27s GD.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
102060_financial systems balkans.xls,13,62,0,0,0,4,8,12,8,20,20,0,0
102094_georgia timeline.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
102095_GERMANY - Landesbanken info.xls,3,21,0,0,0,2,2,0,3,14,2,0,0
102096_Eurozone Portion of Greece Bailout.xls,1,32,0,0,0,3,4,1,2,16,3,0,0
102098_Richmond - Chinese oil exporters.xls,1,19,0,0,0,7,7,4,3,5,10,0,0
102105_Gazprom Bonds.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
102106_argentina.econ.xlsx,1,38,0,0,0,3,4,1,2,19,3,0,0
102107_stratfor - confederation program.xlsx,1,1,0,0,0,0,0,1,0,1,0,0,0
102122_SXSW 2011 - RSVPster.com.xls,11,0,0,0,0,0,0,0,0,0,0,0,0
102140_kg - ethnic breakdown.xlsx,1,0,0,0,0,0,0,0,0,0,0,0,0
102142_strikes and lockouts.xlsx,2,0,0,0,0,0,0,0,0,0,0,0,0
102149_Weekly Confederation Project Updates.xls,4,0,0,0,0,0,0,0,0,0,0,0,0
